"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location,Action Taken
ACC,Squadron,Inappropriate/Offensive,1,Doofer books,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,28,R- Rated movies,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,18,magazines,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,12,military coins,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,4,stickers,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,photo,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,flyer,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,language on item,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,computer background,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,5,R- Rated movies,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,2,magazines,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,stickers,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,personal item,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,graffiti,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,6,magazines,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,2,photos,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,log book,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,lewd saying,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,graffiti,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,booklet,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,sticker,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,5,videos,Share drive,Removed
ACC,Squadron,Inappropriate/Offensive,1,unprofessional screensaver,Workplace Common Area,Removed
ACC,Squadron,Inappropriate/Offensive,1,offensive cartoon,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,holiday décor,Workplace Common Area,Removed
ACC,Group,Unprofessional,2,videos,Share drive,Removed
ACC,Group,Unprofessional,1,photo,Share drive,Removed
ACC,Center,Unprofessional,41,newspaper cartoons,Share drive,Removed
ACC,Center,Unprofessional,3,magazines,Workplace Common Area,Removed
ACC,Center,Inappropriate/Offensive,2,posters,Workplace Common Area,Removed
ACC,Center,Unprofessional,1,bottle of alcohol,Workplace Common Area,Removed
ACC,Center,Inappropriate/Offensive,1,figurine,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,1,pictures,Share drive,Removed
ACC,Squadron,Unprofessional,1,catalog,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,posters,Workplace Common Area,Removed
ACC,Squadron,Unprofessional,3,sculptures,Workplace Common Area,Removed
