"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Squadron,Unprofessional,1,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,9,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional posters,Workplace Common Area
ACC,Staff,Unprofessional,2,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,5,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,1,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,2,unprofessional posters,Workplace Common Area
ACC,Squadron,Unprofessional,11,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,1,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,4,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,2,magazine,Workplace Common Area
ACC,Squadron,Unprofessional,4,magazines,Workplace Common Area
ACC,Squadron,Unprofessional,2,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,2,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,5,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,6,lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,lewd graffiti,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,3,profanity on coffee mug,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,profanity on coffee mug,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,profanity on coffee mug,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,bottles of alcohol,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,bottle of alcohol,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,unprofessional plaque,Workplace Common Area
ACC,Staff,Inappropriate/Offensive,1,unprofessional plaque,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,2,calendar,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,figurine,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,figurine,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,magnet,Workplace Common Area
ACC,Staff,Inappropriate/Offensive,1,magnet,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,business card,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,morale coin,Workplace Common Area
ACC,Squadron,Unprofessional,220,suggestive photos,Share drive
ACC,Squadron,Unprofessional,1,graffiti,Workplace Common Area
ACC,Squadron,Unprofessional,26,graffiti,Workplace Common Area
ACC,Squadron,Unprofessional,1,graffiti,Workplace Common Area
ACC,Squadron,Unprofessional,8,poster,Workplace Common Area
ACC,Squadron,Unprofessional,6,poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area
ACC,Squadron,Unprofessional,3,poster,Workplace Common Area
ACC,Squadron,Unprofessional,2,poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,poster,Workplace Common Area
ACC,Squadron,Unprofessional,2,poster,Workplace Common Area
ACC,Staff,Unprofessional,1,poster,Workplace Common Area
