Name,Address,City,Category,Rating,URL
Beans and Vines,4842 Broadway,New York,Coffee & Tea,4.5,http://www.yelp.com/biz/beans-and-vines-new-york
Yo-Burger,3726 Riverdale Ave,Bronx,Burgers,4.0,http://www.yelp.com/biz/yo-burger-bronx
Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,Cafes,3.5,http://www.yelp.com/biz/genericoss-pizzeria-and-cafe-bronx
Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,Vietnamese,4.0,http://www.yelp.com/biz/com-tam-ninh-kieu-bronx
Hola Espana,5586 Broadway,New York,Spanish,4.0,http://www.yelp.com/biz/hola-espana-new-york
Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,Delis,4.5,http://www.yelp.com/biz/loesers-old-fashioned-kosher-deli-bronx
P & K Grille,170 W 231st St,Bronx,Burgers,4.0,http://www.yelp.com/biz/p-and-k-grille-bronx-2
Picante Picante,156 W 231st St,Bronx,Mexican,4.5,http://www.yelp.com/biz/picante-picante-bronx-2
Caridad Restaurant,135 W Kingsbridge Rd,Bronx,Latin American,4.0,http://www.yelp.com/biz/caridad-restaurant-bronx-2
Arturo's Pizzeria,5189A Broadway,Bronx,Pizza,3.5,http://www.yelp.com/biz/arturos-pizzeria-bronx
Grandpa's Brick Oven Pizza,4973 Broadway,New York,Pizza,4.0,http://www.yelp.com/biz/grandpas-brick-oven-pizza-new-york
El Economico Restaurant,5589 Broadway,Bronx,Latin American,4.0,http://www.yelp.com/biz/el-economico-restaurant-bronx
Liebman's Kosher Delicatessen,552 W 235th St,Bronx,Delis,4.0,http://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx
Dale Restaurant,189 W 231st St,Bronx,Diners,4.0,http://www.yelp.com/biz/dale-restaurant-bronx-2
Cold Cut City Gourmet,228 W 231st St,Bronx,Delis,3.5,http://www.yelp.com/biz/cold-cut-city-gourmet-bronx
