time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-09T19:48:22.700Z,18.714,-65.1518,65,2.5,Md,6,241.2,0.40603851,0.07,pr,pr14160006,2014-06-10T03:51:01.812Z,"47km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-06-09T19:42:07.600Z,18.0349,-68.3507,123,3.2,Md,7,262.8,0.4761071,0.3,pr,pr14160005,2014-06-10T03:44:48.856Z,"46km SE of Boca de Yuma, Dominican Republic",earthquake
2014-06-09T19:13:19.000Z,69.0942,-144.5576,10.3,2.8,ml,14,230.399981568001,1.671765,0.89,ak,ak11287670,2014-06-10T03:16:00.214Z,"115km NNE of Arctic Village, Alaska",earthquake
2014-06-09T14:11:17.000Z,59.2214,-151.5681,50.9,2.5,ml,,,,0.94,ak,ak11287493,2014-06-09T22:13:45.610Z,"46km S of Homer, Alaska",earthquake
2014-06-09T13:50:31.000Z,67.7096,-163.0664,34.5,2.9,ml,,,,0.93,ak,ak11287486,2014-06-09T21:53:09.551Z,"16km NNW of Noatak, Alaska",earthquake
2014-06-09T13:45:17.100Z,36.0845,-96.8561,5,2.6,ml,,83,,0.36,us,usc000rcw7,2014-06-09T21:47:47.415Z,"13km NW of Cushing, Oklahoma",earthquake
2014-06-09T13:34:47.520Z,44.6997,80.7336,35,4.8,mb,,54,2.281,0.8,us,usc000rcvr,2014-06-09T21:37:15.568Z,"83km NE of Zharkent, Kazakhstan",earthquake
2014-06-09T13:17:00.000Z,52.6682,-163.9114,28.8,3.2,ml,,,,0.35,ak,ak11287474,2014-06-09T21:19:38.621Z,"204km SE of Akutan, Alaska",earthquake
2014-06-09T12:27:52.000Z,65.2673,-133.0129,24,3.1,ml,,,,1.48,ak,ak11287456,2014-06-09T20:30:21.767Z,"228km WSW of Fort Good Hope, Canada",earthquake
2014-06-09T12:25:23.760Z,-6.4367,155.0035,89.44,5.1,mb,,51,3.601,0.86,us,usc000rcv8,2014-06-09T20:28:19.618Z,"54km WSW of Panguna, Papua New Guinea",earthquake
2014-06-09T10:33:30.900Z,38.2097,-112.3163,4,2.7,Ml,,46.8,0.19762936,0.21,uu,uu60072617,2014-06-10T17:03:09.161Z,"8km WSW of Junction, Utah",earthquake
2014-06-09T10:15:26.000Z,63.3259,-145.4549,17,3,ml,,,,0.98,ak,ak11287389,2014-06-09T18:17:52.771Z,"62km S of Deltana, Alaska",earthquake
2014-06-09T05:55:29.400Z,-25.1141,-174.7198,10,4.9,mb,,73,5.009,1.27,us,usc000rcu6,2014-06-09T14:32:40.491Z,"South of Tonga",earthquake
2014-06-09T04:55:47.800Z,18.2991,-67.842,113,3.1,Md,12,180,0.55426053,0.31,pr,pr14160004,2014-06-09T12:59:31.505Z,"62km W of Rincon, Puerto Rico",earthquake
2014-06-09T04:33:18.800Z,46.2132,153.1512,16.59,4.9,mb,,171,7.2,1.29,us,usc000rcu1,2014-06-09T12:35:53.829Z,"Kuril Islands",earthquake
2014-06-09T04:32:51.700Z,18.2143,-68.2855,28,3.2,Md,5,342,1.13636883,0.12,pr,pr14160002,2014-06-09T12:35:32.373Z,"38km ESE of Boca de Yuma, Dominican Republic",earthquake
2014-06-09T03:50:12.000Z,67.6643,-162.3123,10.8,2.8,ml,,,,0.72,ak,ak11287311,2014-06-09T11:52:52.926Z,"29km ENE of Noatak, Alaska",earthquake
2014-06-09T03:38:35.780Z,36.5889,36.0745,10,4.5,mb,,89,1.08,1.24,us,usc000rctx,2014-06-09T18:04:00.000Z,"8km W of Iskenderun, Turkey",earthquake
